non_dicom_file_id,download_row_id,download_id,file_name,file_ext,package_path,file_role,bytes,checksum,checksum_algorithm,object_modality,image_format,is_wsi,is_codex,source_table,source_row_id
pathology-file-object:c077134896ca233b9b8ba81e,696,48969,CODEX__HS-13-6668_2B.ome.tiff,.tiff,cropped_files/CODEX__HS-13-6668_2B.ome.tiff,codex_image,,,,multiplex_immunofluorescence,TIFF,1,1,pathology_package_files,pathology-package-file:09bc8f3f8517ddab6078fde4
pathology-file-object:c574a715c7211dcb47a997c2,696,48969,CODEX__HS-14-13304_1C.ome.tiff,.tiff,cropped_files/CODEX__HS-14-13304_1C.ome.tiff,codex_image,,,,multiplex_immunofluorescence,TIFF,1,1,pathology_package_files,pathology-package-file:625f7297e47e9efb7c7ca32e
pathology-file-object:6e4a6dcaccf0a532446af9e2,696,48969,CODEX__HS-16-21554_2D.ome.tiff,.tiff,cropped_files/CODEX__HS-16-21554_2D.ome.tiff,codex_image,,,,multiplex_immunofluorescence,TIFF,1,1,pathology_package_files,pathology-package-file:67e67c4964dac1972e44185d
pathology-file-object:0c93f0999505696bda04bbf5,696,48969,CODEX__HS-16-40491_1D.ome.tiff,.tiff,cropped_files/CODEX__HS-16-40491_1D.ome.tiff,codex_image,,,,multiplex_immunofluorescence,TIFF,1,1,pathology_package_files,pathology-package-file:07b6f6c0635588855b9ccac8
pathology-file-object:a0e5f7fe8d0200b7544b24f4,696,48969,CODEX__HS-17-12425_3B.ome.tiff,.tiff,cropped_files/CODEX__HS-17-12425_3B.ome.tiff,codex_image,,,,multiplex_immunofluorescence,TIFF,1,1,pathology_package_files,pathology-package-file:c7881b255ab11a6c5e41472d
pathology-file-object:55377d7f03b0f53c6c262a7c,696,48969,CODEX__HS-18-11250-1B.ome.tiff,.tiff,cropped_files/CODEX__HS-18-11250-1B.ome.tiff,codex_image,,,,multiplex_immunofluorescence,TIFF,1,1,pathology_package_files,pathology-package-file:c8c0735fdd5325b8dcd077ba
pathology-file-object:32886e533d36a19f4ddd8235,696,48969,CODEX__HS-18-6934-2A.ome.tiff,.tiff,cropped_files/CODEX__HS-18-6934-2A.ome.tiff,codex_image,,,,multiplex_immunofluorescence,TIFF,1,1,pathology_package_files,pathology-package-file:bf588881be298a3aa96bd96f
pathology-file-object:b655cfd5744cc238d1bed71b,696,48969,CODEX__HS-19-14816-1J.ome.tiff,.tiff,cropped_files/CODEX__HS-19-14816-1J.ome.tiff,codex_image,,,,multiplex_immunofluorescence,TIFF,1,1,pathology_package_files,pathology-package-file:4c3171bf1f069649b980842e
pathology-file-object:190ec989dfdd91214d5763b4,696,48969,CODEX__HS-19-6647-1B.ome.tiff,.tiff,cropped_files/CODEX__HS-19-6647-1B.ome.tiff,codex_image,,,,multiplex_immunofluorescence,TIFF,1,1,pathology_package_files,pathology-package-file:df7d279682cec6ee3c479d52
pathology-file-object:42537e14c729495415a6e34f,696,48969,HE__C3L-01046-14.ome.tif,.tif,cropped_files/HE__C3L-01046-14.ome.tif,whole_slide_image,,,,SM,TIF,1,0,pathology_package_files,pathology-package-file:251a16382a3d34141717d44f
pathology-file-object:cbf306c3e41089d4d50a27c3,696,48969,HE__C3L-02041-12.ome.tif,.tif,cropped_files/HE__C3L-02041-12.ome.tif,whole_slide_image,,,,SM,TIF,1,0,pathology_package_files,pathology-package-file:5376b85439d1b07086e61c80
